SEGMENTO,CIUDAD,UID,CANCEL_PREV,PESO,USD_SUBTOTAL,DESCUENTOS,CORTESIA,FALTANTES,PQRs,DEMORA,VOLVIO
Hogar,BOG,07oKNjsiTbcOaCpAjqpnNmC2rV53,0,59.5,34.66,0,0,1,0,6,1
Comercio,BAQ,07p2m1NaDZhLwhbxI1agW7cOSyx1,0,3.0,36.05,0,0,0,0,7,1
Restaurante,BOG,08CEWejdZqOWJe6kyHfAdvM2N1e2,0,108.0,26.85,0,0,0,1,7,1
Restaurante,CMX,08HioxOyl2gH2Qfj48PNjuGP1cz1,0,21.75,33.94,0,0,0,0,6,1
Restaurante,BOG,08IgALn3kqeIpxKvrlhY9SPDAGp2,0,1.0,12.39,0,0,0,1,6,1
Hogar,BOG,08Sv5IFVDcRMXc9tkbKLkGd7vbI2,0,50.1,38.14,0,0,1,0,12,1
Comercio,CMX,08TAd3RDQVY1RGa6CiKp4Tdougs2,0,35.5,37.02,0,0,0,0,9,1
Comercio,CMX,08USe2BbOGYVoXTSsth4F929VFE3,0,22.0,44.35,0,0,0,0,6,0
Hogar,BOG,08gOZGkCjzfZcw3goj8VrYIZgX42,0,27.2,17.13,0,0,0,0,12,1
Comercio,BAQ,08lMtQGqZecH0sWixqwtPVPzpNs1,0,27.0,17.96,1,0,0,0,6,1
Restaurante,BOG,08lPZkLDyIfVDRIBook0RoOhUP02,0,68.64,49.94,0,0,0,2,8,1
Comercio,BOG,08mlrvA5aGNavig1IeGWWOPceWJ3,0,6.0,14.55,0,0,0,0,5,0
Comercio,BOG,09009DGlVtQnX2hurBq3VDsqYFD3,0,5.0,15.27,0,0,0,1,8,1
Hogar,BOG,09JTZj6P0JgYS8cou1SDAqp7uMA3,0,45.8,39.5,0,0,0,0,8,1
Hogar,BAQ,09bL1so7zfWHeYzxmKIftoDxKOK2,0,30.0,18.57,0,0,0,0,7,1
Restaurante,BOG,09gwSRqTgqfI6AEF3jRaYdRPKjH3,0,33.0,27.55,0,0,0,1,7,1
Restaurante,BOG,09x10v8pxWSMRRRfrJVt1JOZA7t2,0,21.0,16.19,0,0,0,0,7,1
Comercio,BAQ,09xzGQJD1kYqJA6YDWdfVAW0nyo1,0,30.5,21.15,0,1,1,0,8,1
Restaurante,BOG,0A6FCuEsvSU8aiQfoNvEPyq9pR12,0,15.6,15.5,0,0,0,0,10,1
Restaurante,BOG,0AMu3gikovTS43ZF9sObP5i6dvO2,0,40.1,23.91,0,0,0,0,6,1
Comercio,CMX,0AP3wsJ7ueatWNR6yAvwSOyAj632,0,6.0,45.99,0,0,0,0,7,0
Restaurante,BOG,0AUy214M9vbsYmdfz92QsOFlQBq1,0,5.76,7.17,0,0,0,0,7,1
Comercio,BOG,0Ad6LhkySZYW3JffBMdOo9LiR2T2,0,37.0,21.77,0,0,0,0,12,0
Comercio,CMX,0AmIdcRPPlc6uFu4vko0rDeajJH3,0,2.0,56.14,0,0,0,0,5,0
Hogar,BOG,0AoFozj2L0Ti8xMeY2xWIHSisBZ2,0,33.5,38.11,0,0,0,0,7,1
Restaurante,BOG,0Axw8pd7L1WuEeUMALpzCj0fCB32,0,4.5,3.83,0,0,0,0,6,1
Restaurante,BOG,0B4i9plLFmPRM837LuuLt6ZIptv2,0,14.0,25.54,0,0,0,0,8,1
Institución,BOG,0BFp1xhr6nfCsrq0xE6j6aVYPEe2,0,28.0,18.89,0,0,0,0,6,1
Hogar,BOG,0Bd12FGB0mPUl1DrbIl5gXNuvkK2,0,60.38,47.87,0,0,0,0,5,1
Hogar,BOG,0BfUqFJ5RVhGSbc9MR65GpuZ0l33,0,101.7,84.22,0,0,3,0,7,1
Comercio,BOG,0CEbLbPVKMXAeQi0aK7Vjv18ZPG2,0,23.5,22.1,0,0,0,0,7,0
Restaurante,CMX,0CF123gFdZfiRW16lnB0Q5ZC4lO2,0,21.75,23.33,0,1,0,0,10,1
Comercio,BOG,0CLpJXaICFPE5Pmk89efNIixH8i1,0,29.6,13.82,0,0,0,1,3,1
Hogar,BOG,0CRVnNNKbLUEbS7iG4zwXMTLyqI2,0,8.3,23.6,0,0,0,0,5,1
Restaurante,CMX,0CdfFJ6NKySUjjvkiXgpdsqkORi1,0,31.4,18.85,0,1,0,0,6,1
Hogar,BOG,0Cl6no33IzcJSh5s1LTfNJKaJD53,0,33.5,37.11,0,0,0,0,6,1
Restaurante,BOG,0CoqRYR0ZuY00FckVNrDvwR6kOj2,0,4.0,10.96,0,0,0,0,7,1
Hogar,BAQ,0Cqihkqr9BPHrS87b8qLK4Yg9s43,0,31.9,21.6,0,0,0,0,5,1
Hogar,BOG,0CruHKqv8cRcBiDAwWePqZW4xS02,0,34.5,27.29,0,0,0,0,9,1
Restaurante,CMX,0CsOFC33H3StVwniMwIYxyGxFjG3,0,37.75,27.04,0,0,0,0,9,1
Comercio,BOG,0Cx3ng636MaykAVeUe0p6ajukGw1,0,39.0,26.22,0,0,0,0,6,1
Restaurante,BOG,0CypSsInzzUJJS3oudBlulmL6Hr1,0,0.5,0.79,0,0,0,0,7,1
Hogar,BOG,0D1TNRcRfzRM0YbM3iyuLhCpC0s1,0,54.0,38.21,0,0,0,0,8,1
Restaurante,BOG,0D1bGNIxPifU5s38DIzeeTQr2Iy1,0,9.0,17.85,0,1,0,0,4,1
Restaurante,BOG,0D9DIsgGmrS6cTRN9Zw50AJC4ne2,0,78.0,35.11,0,0,0,0,3,1
Hogar,BOG,0D9yd3UPmjYhsGoqdmP2g27Ek692,0,123.8,73.71,0,0,0,0,7,1
Comercio,BOG,0DFTqgOO7ZXpOEftRKr4qli1UMD2,0,26.0,33.79,0,0,0,0,13,1
Comercio,CMX,0DG5onMrpgUbFIIM1bAOxLqmyA83,0,31.0,50.26,0,0,0,0,4,1
Restaurante,BOG,0DUsq04UpqgugAoyqO23I5JFi2s2,0,5.0,15.15,0,0,0,0,5,1
Comercio,CMX,0DuQEYwZD6g49Ga5unLGN05ZhOT2,0,14.0,22.76,0,0,0,0,5,0
Hogar,BOG,0E0ogQ0IMzaqzH0IjrgJVz8X9NY2,0,63.3,60.03,0,0,0,1,4,0
Restaurante,CMX,0E1mpMMgkPTNLc9IS0CXM18XOm83,0,51.2,46.67,0,0,0,0,9,1
Restaurante,BAQ,0E3xRN1kjvga75pXujP3rUEtQj43,0,1.5,2.03,0,0,0,0,5,1
Institución,CMX,0E4np3cd1BcWw60xeVTvyj8YLfL2,0,4.0,4.5,0,1,0,0,9,1
Hogar,BOG,0EPsdqTe3xWnJ8Y5DgtAItpTWY73,0,14.2,17.54,0,0,1,0,10,0
Hogar,BOG,0ErHqvzDlKQ9Nbotz6Da2Kxak832,0,7.0,19.93,0,0,0,0,5,1
Restaurante,BOG,0ExO0x3glBNVOKvv7Ga1iZs0uFq1,0,15.6,59.91,0,1,0,0,5,1
Hogar,BOG,0F5x3A0XwAdTDEQDqUK7kxxTWNg1,0,31.5,39.49,0,0,0,0,7,1
Restaurante,BOG,0F7subFYgddXX2Y0R8UyHJDlwT33,0,92.36,47.65,0,0,0,0,3,1
Hogar,BOG,0FF8aJjsBMUe0ox8nS4jjsTUsZU2,0,232.88,164.89,0,1,7,1,5,1
Restaurante,BOG,0FHwnTmE5VXbUmxc7Oo2TIfP3A63,0,23.0,14.02,0,0,0,0,7,0
Restaurante,BOG,0FlpPUQyuqenS4AuibIKTydx2pN2,0,15.2,14.76,1,0,0,0,5,1
Hogar,BAQ,0GWlQcvtVzWaSjqCUCMB7vXNOlu2,1,33.9,27.72,0,0,0,0,9,1
Hogar,BAQ,0Gc5A1jsQ0btyFWILyTMLn1nJIx2,0,35.0,27.42,0,0,0,0,5,1
Comercio,BAQ,0Ge1tzEfP5N4wWVYBkaYAh62T3p1,0,104.8,47.28,0,1,1,0,8,1
Hogar,BOG,0GxN5sp1WpaOqCc1KTGAsQOHBDy2,0,22.5,28.1,0,0,0,2,6,1
Comercio,BOG,0H1HostsYERQnGYIosatbuIm4b23,0,179.0,93.79,0,0,0,1,5,1
Hogar,BOG,0H4oDDA2SHe1Yo0Vzd9t8XhMob63,0,11.1,27.6,0,0,0,0,6,1
Restaurante,CMX,0HAHDAxXUOQ8NY31y5dJ5rUG5ps1,0,63.0,60.11,0,0,0,0,6,0
Hogar,BOG,0HH9MZywmWhTGttDWtI3VcZOnMp2,0,93.9,74.24,0,0,4,0,6,1
Restaurante,BOG,0HUTcfVFrGNRATsvcB3s1wMJGvX2,0,22.41,13.95,0,0,0,0,8,1
Comercio,CMX,0Hf66pw4t1fFYT7JuVTZjbN1rUm2,0,5.0,5.63,0,0,0,1,5,0
Hogar,BAQ,0HsUH3dBABTdTucvY4UgoO13GNN2,0,43.9,29.41,0,0,0,0,4,1
Comercio,BOG,0HyhA4O1G4fyLLSyxncj9KfUaTF3,0,30.0,14.85,0,0,0,0,4,1
Comercio,CMX,0I2hFOQ9w2ctXxTWl1HP7o6i5w22,0,7.0,31.62,0,0,0,1,8,1
Restaurante,CMX,0IEsnemgZxZmVMfcAvmuWVcOhvy2,0,37.2,33.98,0,0,0,0,10,1
Restaurante,BOG,0IHLBhztHNgiH1jQM6n1DDa6gqI2,0,6.0,17.9,0,1,0,0,6,1
Hogar,BOG,0IVMBUsNkeN7GxPuaISWbqaV6eT2,0,25.6,29.69,0,0,0,0,8,1
Comercio,CMX,0IWx6Q1wgYdGWQgkeomplXBuLb53,0,300.0,209.53,0,0,0,0,7,0
Comercio,BOG,0IXwVJv99kTPvIMlhAf7elBgGuh2,0,600.0,343.44,0,0,0,1,5,0
Hogar,BOG,0IkqktpsCLQoidnHuVkLPjp4dkX2,0,66.1,51.36,0,0,2,0,6,1
Hogar,BOG,0IuLeumYPjgKTg4U4cu2pQetoQZ2,0,22.0,27.42,0,0,0,0,7,0
Restaurante,BOG,0J1QT069dJNFQIKyLnvsJpMjZ2D3,0,50.0,11.63,0,0,0,0,3,1
Restaurante,BOG,0JHRuxWCOKUx8b2TIwQVBTn6yx23,0,12.0,16.53,0,0,1,0,3,1
Hogar,BOG,0JIFlyKRaTeSeW1mAfdWbL8NfUD3,0,24.6,22.31,0,0,0,0,10,1
Restaurante,BOG,0JKLNS4dzJRZRgT9pLQJRkaqaP73,0,33.66,44.58,0,0,1,1,7,1
Comercio,CMX,0JZNGraPsnhUGTiL0qBfiWBzV8Q2,0,43.2,51.75,0,0,0,0,4,0
Comercio,BAQ,0JlfNNkqNWOAmnTDBnxaJWfOrfv1,0,36.2,41.18,0,0,1,0,5,1
Hogar,BOG,0Jw3ay8k4dhrKGupZYcagdd0EAI2,0,49.5,64.47,0,0,0,0,8,1
Hogar,BOG,0Jw9hyN63pOA9lseMCcAf7Th0c43,0,68.0,52.03,0,0,1,0,6,1
Restaurante,BOG,0K19aA0l6lRcqpSD0Vj6oTXlxE12,0,20.0,8.17,0,0,0,1,6,1
Hogar,BOG,0KVLcvMlu3XffIc9drA3QFFRIVs1,0,63.8,71.43,0,0,1,0,12,1
Comercio,BOG,0Kat8Aehx5XVrxVaGD45F8EDful1,0,5.4,21.09,0,0,0,0,11,1
Comercio,BAQ,0KmIUGATCZQszz4qbSq08X1wpu53,0,43.5,16.25,0,0,0,0,6,1
Comercio,BOG,0KorFJWnsFXVcxngDNm5AWLNWrk2,0,60.0,197.02,1,1,0,0,6,1
Hogar,BOG,0KqVoVtVJUOwAHfgz7J54Yp5pVh1,0,45.13,42.87,0,0,0,0,5,1
Hogar,BOG,0L0szCVdtTSryLHNndaoBuXsVn02,0,14.1,19.42,0,0,0,0,7,1
Restaurante,BOG,0LKxGIwgtjfyZnfQOZPZvPbjmMK2,0,19.26,15.62,0,0,0,0,6,1
Comercio,BOG,0LO55N018edapQhKeH5H1IIERgv2,0,33.0,28.3,0,0,0,1,14,1
Comercio,BOG,0LT2sNWLqJPPmJOudT61qYj4eBk2,0,6.0,9.39,0,1,0,0,11,1
Comercio,BAQ,0Lw9XtL232OrPOXJUND7WXUtozr1,0,81.0,53.11,0,0,0,0,4,1
Hogar,BOG,0Ly7gCJwHpaPeex6smVnZjwA8P93,0,14.0,11.03,0,0,0,0,6,1
Restaurante,BOG,0LyUfbUy4UWNaIPVj4asQ1TeVyD2,0,15.8,19.39,0,0,0,0,7,1
Hogar,BOG,0MBBByrjkve2iGhf4xxhWWn7brR2,0,37.0,47.37,0,0,0,0,5,1
Hogar,BOG,0MYEKWM6cUeNWMWamgTfVqCRfzv2,0,25.7,33.2,0,0,0,0,5,1
Restaurante,CMX,0MbfHn63fWUMSlDhAyqQRjCxs1A2,0,5.0,4.35,0,1,0,0,10,1
Restaurante,CMX,0McZ8hNevPdcqlir8UiaEoM5aXm1,0,69.45,77.12,0,0,0,0,10,1
Líderes de Comunidad,BOG,0NQbmkjSCZe2B0r8m7IXUkIJD7r2,0,31.0,16.87,0,1,0,0,6,1
Restaurante,BOG,0NVZ1xN44ufPEgcBIJhlBGPwP813,0,49.8,36.03,0,0,0,1,5,1
Hogar,BOG,0NWfRDQVZXNd0CmVPLw1HtA35bI2,0,44.6,51.14,0,0,2,0,7,1
Hogar,BOG,0Npscf7FI3YpzDHMB9iDjg2OVlY2,0,2.0,6.47,0,0,0,0,7,1
Restaurante,CMX,0NqsHu5zfVZwpX3mvjVpw45mqo62,0,25.0,28.76,1,0,0,0,7,1
Restaurante,CMX,0Nv1tDQJmpPUULUeIZ620PUBo802,0,30.75,27.68,1,1,0,1,9,1
Restaurante,BOG,0OEB8nKUHNRtXHoMRbOhEBvNo292,0,3.0,4.98,0,0,0,0,8,0
Restaurante,BOG,0OHQ4BXiusbWKKetUJZHYMdOLoi2,0,33.0,415.46,0,0,0,0,6,1
Restaurante,BOG,0OJMyCxY1wZgCjXbhrih0nCswov1,0,6.0,18.46,0,0,0,0,5,0
Hogar,BAQ,0OYWRoQWRcWVujPMkoTseyPnxM42,0,37.2,25.41,0,0,0,0,5,1
Restaurante,BAQ,0ObEbqiLQQWUfqGbkqeNopw2jfY2,0,31.5,27.48,0,0,2,0,4,1
Hogar,BOG,0OdwfmPTefTz0o0805Iksvaw2X02,0,61.5,39.25,0,0,0,0,9,1
Comercio,CMX,0OfDvHx7A2YXsmPCSnXlGL2J1oZ2,0,86.0,124.51,0,0,1,0,7,1
Institución,BOG,0OnTh1oSQON0AFVjCX3uYjb89DO2,0,52.48,51.03,0,0,0,0,8,1
Restaurante,BOG,0P2KhDBUYxTY6Kyqlp9EMnz8eTE2,0,36.0,31.94,0,0,0,0,7,1
Hogar,BOG,0PBG4BUVK3docxJuPozSySmk2a22,0,61.8,48.1,0,0,0,0,9,1
Restaurante,BOG,0PCjjBHGmMZ2m4iarMVFgOKqCIz2,0,49.4,29.51,0,0,1,0,7,0
Restaurante,BOG,0PU79XszK4cNFnFpz5YwkY8OlTb2,0,90.5,35.81,0,0,0,1,7,1
Comercio,CMX,0Q2loozxsBfSKcSzBbDUdVKFFL33,0,8.0,25.25,0,0,0,0,5,1
Restaurante,BOG,0Qr2btsuW0M7mDscQyNRyGmuF7y2,0,57.92,42.09,0,0,0,0,6,1
Comercio,BOG,0QuvNfv76kQLuSPcORfWv1nmt2v1,0,2.0,24.42,0,0,0,0,5,1
Hogar,BOG,0Qvh9hDTHNWnWlv9yvkC9FIZuuk1,0,3.0,9.08,0,0,0,0,5,1
Comercio,BOG,0R4Qj1MMyoUbG9A1FRU8OpDd7fk1,0,52.5,27.93,0,0,0,1,5,1
Restaurante,BOG,0R9Wd5crw0VMlo1fRYW7ZGdFwPc2,0,111.3,70.6,0,0,1,2,5,1
Hogar,BOG,0RBSuxzxABM4CTod2V9mVX7STaa2,0,42.0,49.02,0,0,0,0,6,1
Restaurante,BAQ,0RC19EEUJWOLWXB630hW9I7zjzr2,0,64.5,67.55,0,0,0,0,8,1
Hogar,BAQ,0RTipOalv7ahQP1DqSuyJmdwp3X2,0,70.6,58.42,0,0,2,1,7,1
Restaurante,BOG,0RX8EGKOSoXfM47EISSioYnmyRh1,0,95.0,41.44,0,0,0,1,9,1
Comercio,BOG,0RXiPoqz4demMlhKf8vFjtUixgp2,0,3.0,37.77,0,0,0,0,13,0
Hogar,BOG,0RXlxdOjzyfwNjrWmnZ6WmY678F2,0,46.73,43.18,0,0,1,1,8,1
Hogar,BOG,0RfqTfxTNihNXr4i17HCW4NKPYf1,0,95.0,81.93,0,0,0,0,7,1
Institución,CMX,0RktbAjfyYenP4LNQJkRstZ5Xmg2,0,2.0,26.16,0,0,0,0,7,1
Hogar,BOG,0RzrP1SyjfWRJSHwZigo9cHn88b2,0,23.3,18.92,0,0,4,0,1,1
Institución,BOG,0SD024zbV9PLVYR1KE5hr4rfKJB3,0,244.0,661.74,0,0,1,0,5,0
Institución,BOG,0SFJBYiwO8NEKxIhNmWPpHvRYaP2,0,47.4,38.79,0,0,0,0,10,1
Comercio,CMX,0SHscCSjr6hTufqUjHRzhvEXB7P2,0,7.0,63.9,0,0,2,0,7,1
Restaurante,BAQ,0SIOfRzTGHQtlpymsDlJp5hyW9F2,0,186.5,86.21,0,1,2,0,6,1
Restaurante,CMX,0SKZ0FIIp3PwmA1yxj3u1E9DJYx1,0,5.0,8.51,0,0,0,1,8,1
Comercio,BAQ,0SicYJmZ2DavpNRPax4NcK9hT7s1,0,159.0,97.13,0,0,0,0,7,1
Restaurante,BOG,0Sj5NwcFBXUt3tLYG347JVBj60w1,0,6.0,16.36,0,1,0,0,8,1
Hogar,BOG,0SndLOi5hzR0dNmQGds1aYXYror2,0,11.0,30.4,0,0,0,0,8,1
Restaurante,BOG,0SrZGkCC8RfeynywfWRNkKcBgqB2,0,14.0,31.21,0,0,0,0,6,1
Comercio,CMX,0Svhq9lQfuaqZhNhU7I9WzqY0Fo1,0,26.2,22.63,0,0,0,0,9,1
Restaurante,CMX,0SvtSLenovfCmSTObERDlj8FPaA2,0,5.0,4.77,0,0,0,1,14,1
Institución,BOG,0Svtldc9JofZ64uqGHP5Biz7LiA2,0,11.4,31.04,0,1,0,0,5,1
Hogar,BOG,0T2u5XuPYGVDTCFrBgFy646YJDp2,0,57.84,50.47,0,0,0,0,7,1
Restaurante,CMX,0TC4ui0VQpZbgL6RjRzAUMEqDdt2,0,12.0,8.0,0,0,0,0,7,0
Hogar,BAQ,0TQE2QXJaETidcRrjtRS9ShMsQd2,0,17.9,13.77,0,0,2,0,5,1
Restaurante,BOG,0TcYj0jhFHedNvhIa4AvYMvO07t1,0,19.11,14.4,0,0,0,0,13,1
Hogar,BOG,0TqfLuamlrQbQkZNK2aKUDrQHUK2,0,47.5,37.56,0,0,0,0,4,0
Hogar,CMX,0Tsr2BOFwfXXDHVZhXPK7QhA4m73,0,17.25,18.41,0,0,0,0,8,0
Comercio,BOG,0U1RjfdsZFSwxMQUEcTQRukM6Fg2,0,13.0,16.3,0,0,0,0,7,0
Hogar,BOG,0U1cORMRsaUW9RSlaOfgSM8VTc92,0,24.0,31.28,0,0,0,0,12,1
Comercio,CMX,0UPxQQRS2ddEBcfMfcLEEmWEmnW2,0,1.0,42.17,0,0,0,0,7,0
Comercio,BAQ,0USRtxc6OHfM1dWFzM0KJTgQRKu2,0,54.5,34.56,0,1,0,1,6,1
Restaurante,CMX,0UWP8dEiPoSKs0O8stBalu1Cowf2,0,159.5,132.24,0,0,0,2,5,1
Hogar,BOG,0Ubs19vEfeUCOjZwGlgDIM567902,0,32.6,27.8,0,1,0,2,5,1
Hogar,BOG,0Uwrj21a7BWhpbflD4FyY2NmznW2,0,48.1,41.39,0,0,0,0,9,1
Restaurante,CMX,0V1gOwEVs5WsvuB1K7EgoDVdRkl1,0,48.7,63.72,0,0,0,0,8,0
Restaurante,BOG,0V8QShLXevZXoNxmJAK5MVctOF72,0,5.0,12.33,0,0,0,1,7,1
Restaurante,CMX,0VFDFfTitdhbrrhONeR3tduO82p2,0,84.0,22.93,0,0,0,0,9,1
Restaurante,BOG,0VHj15UKSsevL5Iv4v8RpRD7fwN2,0,12.0,3.31,0,0,0,0,7,1
Hogar,BOG,0VSZQApIj4WmzlChlnGqB0OvvRX2,0,54.8,36.74,0,0,1,1,11,1
Restaurante,BOG,0VVpUt9JWAep71S09oXXsvlUTGE2,0,25.0,27.8,0,0,0,0,6,1
Restaurante,BOG,0VhfpWsjc5PTI9iQQrjos2b8yRj1,0,16.25,15.89,0,0,0,0,5,1
Comercio,CMX,0VmOI5UVBwPzqKzzTh031gniswj2,0,26.0,22.17,0,0,0,0,6,0
Comercio,BOG,0VoaX3rzuZeD9xNVuLr6oqLIs8C2,0,13.2,8.21,0,1,0,0,8,1
Restaurante,CMX,0VrH1inSPxcvVpDUEg2Q4EcNJrh1,0,5.0,5.21,0,1,0,0,10,1
Hogar,BOG,0VuChP94KtYcdgZQx9FAhiXjlwy2,0,75.7,65.05,0,0,0,0,3,1
Hogar,BOG,0Vvc9nRzcLXalmAj0wcZmkqEhoL2,0,62.5,37.71,0,0,0,0,5,1
Restaurante,BOG,0Vy96jSLCuVyQwt6rXQjAKAvlEj2,0,30.7,16.82,0,0,0,0,9,1
Hogar,BOG,0W1SeuEFbLYrhZzrlPrhYYBIvuV2,0,28.3,27.73,0,0,0,0,11,1
Hogar,BAQ,0WCN3A9vhge7Tex3QkzN7c8CyvQ2,0,33.0,14.59,0,0,0,1,5,1
Hogar,BOG,0WNsK7qQbqMNVFCg19RNSOkssiV2,0,20.6,14.76,0,0,0,0,9,0
Hogar,BAQ,0WOsfN7HJVgFsZ2eS3bu3pGOjls2,0,11.0,30.81,0,0,0,0,5,1
Hogar,BAQ,0WOtrCYSZOMo991cJ3BvQyavz9g2,0,52.7,57.0,0,0,3,0,5,1
Hogar,BOG,0WXBGgJeZfZsR6xag3J2bvPWLub2,0,57.5,64.52,0,0,1,0,5,1
Hogar,CMX,0Wd2FA43QYcyfxnua5E5pYPW0YK2,0,1.0,23.46,0,0,0,0,6,0
Comercio,CMX,0WdmZNcwAXVH3Nf1h1sNCtnByLF3,0,25.0,27.72,0,0,0,0,8,0
